folder,file,thermal_mean,thermal_sd,thermal_q05,thermal_q50,thermal_q95,gps_time,wx_rel_hum_pct,wx_vis_lux,ObjectEmissivity,ReflectedTemperature,gps_utc,alpha2,wx_pressure_hpa,alpha1,ExtOpticsTemperature,TSens,beta2,beta1,EstimatedTransmission,Date,FocusDistance,ExtOpticsTransmission,RelativeHumidity,B,wx_ir_lux,F,gps_latitude,R,wx_temp_air_c,X,AtmosphericTemperature,J0,J1,ObjectDistance,gps_num_satellites,wx_uv_lux,gps_longitude
/Users/benjaminblonder/Desktop/thermal data/thermal_control_160617_180132/,160617_180132-000000-000004-infrared-data.npy,30734.2794117647,156.573391619391,30494,30725,31013.5,1466182919,21,4525,0.970000028610229,293.149993896484,2016-06-17T17:01:59.000Z,0.0126200001686811,723.75,0.00656899996101856,293.149993896484,301.208740234375,-0.00667000003159046,-0.00227600010111928,0,160617-180159,2.3199999332428,1,20.9400005340576,1430.09997558594,7369,1,38.959007333,0,27.12,1.89999997615814,300.339996337891,4214,69.6244964599609,2.3199999332428,15,0.36,-106.986538833
/Users/benjaminblonder/Desktop/thermal data/thermal_control_160617_180132/,160617_180132-000000-000005-infrared-data.npy,30759.612745098,154.578728436477,30530.2,30752.5,31043.2,1466182921,20.92,4576,0.970000028610229,293.149993896484,2016-06-17T17:02:01.000Z,0.0126200001686811,723.7,0.00656899996101856,293.149993896484,301.209197998047,-0.00667000003159046,-0.00227600010111928,0,160617-180201,2.3199999332428,1,21,1430.09997558594,7387,1,38.9590065,0,27.02,1.89999997615814,300.269989013672,4214,69.6244964599609,2.3199999332428,15,0.36,-106.986537167
/Users/benjaminblonder/Desktop/thermal data/thermal_control_160617_180132/,160617_180132-000000-000006-infrared-data.npy,30771.9019607843,156.072265048338,30541.4,30764.5,31061.9,1466182922,20.87,4525,0.970000028610229,293.149993896484,2016-06-17T17:02:02.000Z,0.0126200001686811,723.71,0.00656899996101856,293.149993896484,301.209442138672,-0.00667000003159046,-0.00227600010111928,0,160617-180202,2.3199999332428,1,20.9200000762939,1430.09997558594,7363,1,38.959006167,0,26.93,1.89999997615814,300.170013427734,4214,69.6244964599609,2.3199999332428,15,0.36,-106.986535667
/Users/benjaminblonder/Desktop/thermal data/thermal_control_160617_180132/,160617_180132-000000-000007-infrared-data.npy,30778.7745098039,157.398550131513,30540.1,30773,31065.4,1466182923,20.72,4576,0.970000028610229,293.149993896484,2016-06-17T17:02:03.000Z,0.0126200001686811,723.71,0.00656899996101856,293.149993896484,301.208587646484,-0.00667000003159046,-0.00227600010111928,0,160617-180203,2.3199999332428,1,20.8700008392334,1430.09997558594,7280,1,38.959004667,0,26.83,1.89999997615814,300.079986572266,4214,69.6244964599609,2.3199999332428,15,0.37,-106.986534667
/Users/benjaminblonder/Desktop/thermal data/thermal_control_160617_180132/,160617_180132-000000-000008-infrared-data.npy,30762.6274509804,159.296292484734,30532.7,30761,31054.5,1466182925,20.56,4576,0.970000028610229,293.149993896484,2016-06-17T17:02:05.000Z,0.0126200001686811,723.69,0.00656899996101856,293.149993896484,301.208557128906,-0.00667000003159046,-0.00227600010111928,0,160617-180205,2.3199999332428,1,20.7199993133545,1430.09997558594,7303,1,38.959002833,0,26.65,1.89999997615814,299.980010986328,4214,69.6244964599609,2.3199999332428,15,0.36,-106.986533667
/Users/benjaminblonder/Desktop/thermal data/thermal_control_160617_180132/,160617_180132-000000-000009-infrared-data.npy,30754.8774509804,160.268923266175,30523,30747,31031,1466182926,20.42,4473,0.970000028610229,293.149993896484,2016-06-17T17:02:06.000Z,0.0126200001686811,723.67,0.00656899996101856,293.149993896484,301.208557128906,-0.00667000003159046,-0.00227600010111928,0,160617-180206,2.3199999332428,1,20.5599994659424,1430.09997558594,7369,1,38.9590025,0,26.55,1.89999997615814,299.799987792969,4214,69.6244964599609,2.3199999332428,15,0.36,-106.986533333
/Users/benjaminblonder/Desktop/thermal data/thermal_control_160617_180132/,160617_180132-000000-000010-infrared-data.npy,30740.2549019608,163.020303747664,30495.8,30735.5,31026,1466182927,20.3,4576,0.970000028610229,293.149993896484,2016-06-17T17:02:07.000Z,0.0126200001686811,723.69,0.00656899996101856,293.149993896484,301.209625244141,-0.00667000003159046,-0.00227600010111928,0,160617-180207,2.3199999332428,1,20.4200000762939,1430.09997558594,7375,1,38.9590015,0,26.43,1.89999997615814,299.700012207031,4214,69.6244964599609,2.3199999332428,15,0.36,-106.986532833
/Users/benjaminblonder/Desktop/thermal data/thermal_control_160617_180132/,160617_180132-000000-000011-infrared-data.npy,30722.681372549,165.553353196959,30468.9,30716.5,31020,1466182929,20.21,4576,0.970000028610229,293.149993896484,2016-06-17T17:02:09.000Z,0.0126200001686811,723.68,0.00656899996101856,293.149993896484,301.209381103516,-0.00667000003159046,-0.00227600010111928,0,160617-180209,2.3199999332428,1,20.2999992370605,1430.09997558594,7387,1,38.958999833,0,26.36,1.89999997615814,299.579986572266,4214,69.6244964599609,2.3199999332428,15,0.36,-106.986531
/Users/benjaminblonder/Desktop/thermal data/thermal_control_160617_180132/,160617_180132-000000-000012-infrared-data.npy,30712.5098039216,171.401366607265,30436.4,30715,31009.3,1466182930,20.1,4525,0.970000028610229,293.149993896484,2016-06-17T17:02:10.000Z,0.0126200001686811,723.64,0.00656899996101856,293.149993896484,301.208557128906,-0.00667000003159046,-0.00227600010111928,0,160617-180210,2.3199999332428,1,20.2099990844727,1430.09997558594,7286,1,38.958998833,0,26.29,1.89999997615814,299.510009765625,4214,69.6244964599609,2.3199999332428,15,0.36,-106.986531
/Users/benjaminblonder/Desktop/thermal data/thermal_control_160617_180132/,160617_180132-000000-000013-infrared-data.npy,30710.3480392157,171.129431170927,30427.1,30716.5,31002,,20.04,4525,0.970000028610229,293.149993896484,2016-06-17T17:02:12.000Z,0.0126200001686811,723.69,0.00656899996101856,293.149993896484,301.209686279297,-0.00667000003159046,-0.00227600010111928,0,160617-180211,2.3199999332428,1,20.1000003814697,1430.09997558594,7256,1,38.958995733,0,26.28,1.89999997615814,299.440002441406,4214,69.6244964599609,2.3199999332428,15,0.36,-106.986529918
