file,thermal_mean,thermal_sd,thermal_q05,thermal_q50,thermal_q95,stats1,stats2,stats3,stats4,stats5,stats6,stats7,stats8,stats9,stats10,stats11,stats12,stats13,stats14
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,279.064666748047,0.272656440734863,278.743041992188,279.0341796875,279.593505859375,565,276.053954070489,283.87,245.962127959581,284.832061767578,0.6257,0.97,2,2016,6,20,12,49,29
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,279.093963623047,0.366227239370346,278.462860107422,279.109313964844,279.731903076172,598,276.143467731289,284.1,245.724308693891,284.814422607422,0.6274,0.97,2,2016,6,20,12,50,2
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,279.070190429688,0.394787520170212,278.437805175781,279.064636230469,279.839050292969,631,276.267599224995,284.29,245.600902353044,284.799652099609,0.625,0.97,2,2016,6,20,12,50,35
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,279.085998535156,0.371443748474121,278.507476806641,279.099182128906,279.730865478516,664,276.424098989427,284.49,245.585064522547,284.792114257812,0.621,0.97,2,2016,6,20,12,51,8
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,279.433563232422,0.246406331658363,279.170166015625,279.387329101562,279.951904296875,698,276.615194297456,284.48,245.674023158019,284.789276123047,0.6164,0.97,2,2016,6,20,12,51,42
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,279.481719970703,0.230142742395401,279.195343017578,279.455749511719,280.00146484375,731,276.8257603514,284.44,245.855527097799,284.799072265625,0.6206,0.97,2,2016,6,20,12,52,15
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,279.539093017578,0.19643971323967,279.295166015625,279.529510498047,279.877105712891,764,277.057217177433,284.53,246.123858897949,284.810455322266,0.6276,0.97,2,2016,6,20,12,52,48
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,279.391174316406,0.265969157218933,279.013977050781,279.366851806641,279.81640625,797,277.305777106243,284.64,246.472174143976,284.827728271484,0.6299,0.97,2,2016,6,20,12,53,21
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,279.266937255859,0.336725533008575,278.711212158203,279.310272216797,279.742614746094,831,277.575755932245,284.77,246.907469201326,284.859283447266,0.6315,0.97,2,2016,6,20,12,53,55
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,279.291473388672,0.383384168148041,278.6435546875,279.316040039062,279.874572753906,863,277.839055594952,284.91,247.381377315687,284.891662597656,0.63,0.97,2,2016,6,20,12,54,27
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,279.476745605469,0.366767376661301,278.838989257812,279.490325927734,280.020141601562,897,278.124646686375,285.14,247.946013949847,284.931610107422,0.6276,0.97,2,2016,6,20,12,55,1
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,280.052398681641,0.410083502531052,279.407531738281,279.953308105469,280.770477294922,929,278.395831077595,285.95,248.528381296985,284.979705810547,0.6188,0.97,2,2016,6,20,12,55,33
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,280.910980224609,0.514378905296326,280.229248046875,280.842590332031,281.860534667969,962,278.67779863472,286.43,249.173947554996,285.045959472656,0.5978,0.97,2,2016,6,20,12,56,6
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,281.955078125,0.676436603069305,281.008026123047,281.86328125,283.174377441406,995,278.963056594138,287.3,249.858430771924,285.134399414062,0.5791,0.97,2,2016,6,20,12,56,39
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,282.677062988281,0.721431851387024,281.821319580078,282.611145019531,284.180419921875,1029,279.261410748089,288.07,250.597128707788,285.251739501953,0.5555,0.97,2,2016,6,20,12,57,13
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,283.732452392578,0.75653463602066,282.836273193359,283.571899414062,285.239685058594,1062,279.556291667705,288.89,251.339570242083,285.377593994141,0.5321,0.97,2,2016,6,20,12,57,46
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,284.900238037109,0.921715915203094,283.884704589844,284.68505859375,286.667938232422,1095,279.857361518954,289.88,252.100188085314,285.533172607422,0.5091,0.97,2,2016,6,20,12,58,19
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,285.676483154297,0.90169483423233,284.570831298828,285.487548828125,287.541564941406,1128,280.165576816519,290.45,252.872137822988,285.682373046875,0.4884,0.97,2,2016,6,20,12,58,52
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,285.222045898438,0.950467705726624,283.78515625,285.221343994141,286.732513427734,1161,280.481894075082,291.22,253.648575040613,285.850433349609,0.4706,0.97,2,2016,6,20,12,59,25
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,285.223083496094,1.19566571712494,283.461791992188,285.462646484375,287.038604736328,1194,280.807269809325,291.87,254.422655323695,286.01611328125,0.4554,0.97,2,2016,6,20,12,59,58
/Users/benjaminblonder/Documents/rmbl/rmbl 2016/thermal ecology/thermal data/cbt june 20th diurnal/cbt_2016_06_20.mat,286.384887695312,1.1050169467926,284.868011474609,286.421875,288.426879882812,1227,281.14266053393,292.24,255.187534257741,286.181610107422,0.4413,0.97,2,2016,6,20,13,0,31
